"Journal Name","Biodata Resouce Count"
"3 Biotech",2
"Access microbiology",1
"ACS chemical biology",1
"ACS omega",1
"ACS synthetic biology",2
"Acta crystallographica. Section D, Structural biology",2
"Acta naturae",1
"Acta oncologica (Stockholm, Sweden)",1
"Acta pharmaceutica Sinica. B",1
"Advances in experimental medicine and biology",2
"Age (Dordrecht, Netherlands)",1
"Aging",1
"Aging cell",1
"Aktuelle Urologie",1
"Allergy",1
"American heart journal",1
"American journal of hematology",1
"American journal of industrial medicine",1
"American journal of medical genetics. Part A",2
"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",1
"American journal of physiology. Renal physiology",1
"American journal of primatology",1
"AMIA ... Annual Symposium proceedings. AMIA Symposium",1
"Amino acids",2
"Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis",2
"Amyotrophic lateral sclerosis : official publication of the World Federation of Neurology Research Group on Motor Neuron Diseases",1
"Analytica chimica acta",1
"Analytical chemistry",2
"Animal genetics",2
"Annals of human genetics",1
"Annals of work exposures and health",1
"Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference",1
"Annual review of virology",1
"Antimicrobial agents and chemotherapy",2
"Antonie van Leeuwenhoek",1
"Applied health economics and health policy",1
"Archives of insect biochemistry and physiology",1
"Archives of microbiology",1
"Archives of virology",1
"Asian-Australasian journal of animal sciences",1
"Asian-Australasian journal of animal sciences.",1
"Assay and drug development technologies",1
"Autism research : official journal of the International Society for Autism Research",1
"Autophagy",6
"Behavior research methods",16
"Biochemical and biophysical research communications",3
"Biochemical Society transactions",1
"Biochemistry and molecular biology education : a bimonthly publication of the International Union of Biochemistry and Molecular Biology",1
"Biochimica et biophysica acta",2
"Biochimica et biophysica acta. Biomembranes",1
"BioData mining",4
"Biodiversity data journal",4
"Bioinformatics (Oxford, England)",174
"Bioinformatics and biology insights",4
"Bioinformation",57
"Biological psychiatry",1
"Biology direct",1
"Biology of sex differences",2
"Biomaterials",1
"Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie",1
"Biophysical reviews",1
"Biophysics (Nagoya-shi, Japan)",1
"Biophysics and physicobiology",2
"Bioscience trends",1
"Biotechnology for biofuels",3
"Bladder cancer (Amsterdam, Netherlands)",1
"Blood cells, molecules & diseases",1
"BMB reports",1
"BMC bioinformatics",64
"BMC cancer",2
"BMC cardiovascular disorders",1
"BMC complementary and alternative medicine",1
"BMC ecology",2
"BMC evolutionary biology",2
"BMC genetics",3
"BMC genomics",82
"BMC medical genomics",11
"BMC medical informatics and decision making",1
"BMC microbiology",7
"BMC molecular and cell biology",1
"BMC musculoskeletal disorders",1
"BMC neuroscience",1
"BMC plant biology",29
"BMC pulmonary medicine",1
"BMC research notes",14
"BMC structural biology",1
"BMC systems biology",10
"Brain structure & function",1
"Breeding science",2
"Briefings in bioinformatics",53
"Cancer biology & therapy",1
"Cancer chemotherapy and pharmacology",1
"Cancer immunology, immunotherapy : CII",1
"Cancer informatics",2
"Cancer research",6
"Cancers",1
"Carbohydrate polymers",1
"Carbohydrate research",1
"Cell",2
"Cell proliferation",1
"Cell reports",2
"Cell systems",1
"Cells",1
"Chemical biology & drug design",2
"ChemMedChem",1
"Chest",1
"Chirality",1
"Clinical and experimental immunology",1
"Clinical and translational medicine",1
"Clinical pharmacology and therapeutics",1
"Clinics (Sao Paulo, Brazil)",1
"Cold Spring Harbor protocols",1
"Combinatorial chemistry & high throughput screening",1
"Comparative medicine",1
"Computational and structural biotechnology journal",17
"Computational biology and chemistry",5
"Computational toxicology (Amsterdam, Netherlands)",1
"Computers in biology and medicine",8
"CPT: pharmacometrics & systems pharmacology",1
"Current computer-aided drug design",1
"Current drug targets",1
"Current opinion in microbiology",1
"Current opinion in pediatrics",1
"Current opinion in structural biology",1
"Current plant biology",2
"Current protein & peptide science",1
"Current protocols",3
"Current protocols in bioinformatics",15
"Current protocols in human genetics",1
"Cytogenetic and genome research",1
"Cytokine",1
"Data in brief",1
"Database : the journal of biological databases and curation",406
"Development (Cambridge, England)",2
"Development, growth & differentiation",2
"Developmental cell",1
"Diagnostic pathology",1
"Discovery medicine",1
"Disease models & mechanisms",2
"DNA repair",1
"DNA research : an international journal for rapid publication of reports on genes and genomes",1
"Dong wu xue yan jiu = Zoological research",1
"Drug discovery today",1
"Earth system science data",1
"Ecology and evolution",3
"Electrophoresis",2
"eLife",3
"Environmental health perspectives",2
"Environmental microbiology",2
"Environmental microbiology reports",1
"Environmental science & technology",1
"European journal of cancer (Oxford, England : 1990)",1
"European journal of human genetics : EJHG",4
"European journal of medical genetics",1
"European journal of pediatrics",1
"Evidence-based complementary and alternative medicine : eCAM",1
"Evolution & development",1
"Evolutionary bioinformatics online",4
"Experimental and molecular pathology",1
"Experimental and therapeutic medicine",1
"Experimental eye research",1
"F1000Research",8
"FEBS open bio",1
"FEMS microbiology letters",2
"FEMS yeast research",1
"Food chemistry",5
"Forensic science international. Genetics",3
"Frontiers in bioengineering and biotechnology",3
"Frontiers in cell and developmental biology",2
"Frontiers in cellular and infection microbiology",1
"Frontiers in chemistry",1
"Frontiers in genetics",14
"Frontiers in human neuroscience",1
"Frontiers in immunology",4
"Frontiers in microbiology",7
"Frontiers in molecular biosciences",1
"Frontiers in neuroinformatics",4
"Frontiers in neuroscience",3
"Frontiers in oncology",2
"Frontiers in pharmacology",3
"Frontiers in physiology",2
"Frontiers in plant science",23
"Functional & integrative genomics",1
"G3 (Bethesda, Md.)",4
"Gene",11
"Gene: X",1
"Genes & nutrition",1
"Genesis (New York, N.Y. : 2000)",2
"Genetics",1
"Genetics and molecular biology",2
"Genome biology",12
"Genome biology and evolution",3
"Genome medicine",2
"Genome research",1
"Genomics",10
"Genomics & informatics",1
"Genomics data",1
"Genomics, proteomics & bioinformatics",28
"Geoscience data journal",1
"GigaScience",4
"Glycobiology",8
"Glycoconjugate journal",1
"Growth hormone & IGF research : official journal of the Growth Hormone Research Society and the International IGF Research Society",1
"Health care management science",1
"Health informatics journal",1
"Heart (British Cardiac Society)",1
"Heliyon",1
"Hereditary cancer in clinical practice",1
"Hereditas",1
"Homeopathy : the journal of the Faculty of Homeopathy",1
"Horticulture research",7
"Human genetics",4
"Human genome variation",2
"Human genomics",5
"Human immunology",2
"Human molecular genetics",1
"Human mutation",36
"Human reproduction (Oxford, England)",1
"IEEE journal of biomedical and health informatics",1
"IEEE transactions on image processing : a publication of the IEEE Signal Processing Society",2
"IEEE transactions on pattern analysis and machine intelligence",1
"IEEE/ACM transactions on computational biology and bioinformatics",2
"ILAR journal",1
"Immunity",1
"Immunogenetics",1
"Immunology",2
"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",10
"Inflammatory bowel diseases",1
"Influenza and other respiratory viruses",1
"Insect biochemistry and molecular biology",2
"Insect science",1
"Integrative and comparative biology",1
"Interdisciplinary sciences, computational life sciences",5
"International journal of antimicrobial agents",2
"International journal of bioinformatics research and applications",2
"International journal of biological macromolecules",2
"International journal of biological sciences",2
"International journal of biometeorology",1
"International journal of food sciences and nutrition",1
"International journal of medical microbiology : IJMM",1
"International journal of molecular sciences",4
"International journal of oral science",1
"International journal of radiation biology",2
"International journal of radiation oncology, biology, physics",1
"International journal of systematic and evolutionary microbiology",1
"Investigative ophthalmology & visual science",1
"iScience",1
"Journal for immunotherapy of cancer",1
"Journal of applied crystallography",1
"Journal of applied phycology",1
"Journal of bioinformatics and computational biology",3
"Journal of biological research (Thessalonike, Greece)",1
"Journal of biomedical informatics",7
"Journal of biomedical semantics",7
"Journal of biomolecular structure & dynamics",1
"Journal of biosciences",2
"Journal of biotechnology",1
"Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research",2
"Journal of cancer research and therapeutics",1
"Journal of cell communication and signaling",2
"Journal of cellular biochemistry",1
"Journal of chemical information and modeling",24
"Journal of chemical theory and computation",1
"Journal of cheminformatics",14
"Journal of chromatography. A",1
"Journal of clinical bioinformatics",2
"Journal of clinical microbiology",1
"Journal of clinical pathology",1
"Journal of computational biology : a journal of computational molecular cell biology",3
"Journal of computational chemistry",2
"Journal of computer-aided molecular design",1
"Journal of dental research",2
"Journal of diabetes science and technology",1
"Journal of digital imaging",2
"Journal of environmental management",1
"Journal of environmental quality",1
"Journal of ethnopharmacology",1
"Journal of extracellular vesicles",2
"Journal of food composition and analysis.",1
"Journal of genetics and genomics = Yi chuan xue bao",11
"Journal of global antimicrobial resistance",1
"Journal of hazardous materials",1
"Journal of hematology & oncology",1
"Journal of human genetics",1
"Journal of immunological methods",1
"Journal of immunology (Baltimore, Md. : 1950)",3
"Journal of infection and public health",1
"Journal of integrative bioinformatics",4
"Journal of integrative plant biology",2
"Journal of medicinal chemistry",3
"Journal of molecular biology",17
"Journal of molecular graphics & modelling",1
"Journal of molecular histology",1
"Journal of natural products",2
"Journal of neurovirology",1
"Journal of Parkinson's disease",2
"Journal of proteome research",12
"Journal of proteomics",3
"Journal of proteomics & bioinformatics",1
"Journal of receptor and signal transduction research",1
"Journal of structural and functional genomics",2
"Journal of structural biology",1
"Journal of telemedicine and telecare",1
"Journal of the American Medical Informatics Association : JAMIA",3
"Journal of the National Cancer Institute",1
"Journal of theoretical biology",2
"Life sciences",1
"Liver international : official journal of the International Association for the Study of the Liver",2
"Malaria journal",1
"Mammalian genome : official journal of the International Mammalian Genome Society",6
"mBio",3
"Medical physics",1
"Metabolomics : Official journal of the Metabolomic Society",1
"Methods (San Diego, Calif.)",3
"Methods in molecular biology (Clifton, N.J.)",72
"Methods in Psychology (Online)",1
"Microbes and environments",1
"Microbial genomics",2
"Microbial pathogenesis",1
"Microbiome",1
"Microorganisms",1
"MicroRNA (Shariqah, United Arab Emirates)",1
"Mitochondrion",3
"Mobile DNA",4
"Mobile genetic elements",1
"Molecular & cellular proteomics : MCP",8
"Molecular and biochemical parasitology",1
"Molecular and cellular probes",1
"Molecular biology and evolution",10
"Molecular biology of the cell",1
"Molecular biology reports",2
"Molecular bioSystems",1
"Molecular cancer",2
"Molecular cell",1
"Molecular ecology resources",5
"Molecular endocrinology (Baltimore, Md.)",4
"Molecular genetics & genomic medicine",1
"Molecular genetics and genomics : MGG",3
"Molecular genetics and metabolism",2
"Molecular imaging",1
"Molecular informatics",3
"Molecular neurobiology",2
"Molecular psychiatry",1
"Molecular systems biology",3
"Molecules (Basel, Switzerland)",2
"Molecules and cells",2
"mSphere",1
"mSystems",2
"Mutagenesis",1
"NanoImpact",1
"NAR cancer",1
"NAR genomics and bioinformatics",2
"Natural product research",1
"Nature",1
"Nature biotechnology",1
"Nature communications",3
"Nature genetics",2
"Nature methods",4
"Nature protocols",3
"Neoplasia (New York, N.Y.)",1
"NeuroImage",4
"Neuroinformatics",2
"Neuron",2
"Neuropathology and applied neurobiology",1
"New biotechnology",1
"Non-coding RNA",1
"NPJ systems biology and applications",1
"Nucleic acids research",1356
"Nucleus (Austin, Tex.)",1
"Nutrition today",1
"Omics : a journal of integrative biology",4
"Oncogenesis",1
"Oncoimmunology",1
"Oncology reviews",1
"Oncotarget",4
"Open biology",1
"Oral oncology",1
"Orphanet journal of rare diseases",4
"Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing",1
"Parasites & vectors",1
"Parasitology international",1
"Patterns (New York, N.Y.)",1
"PeerJ",10
"Pharmacology",1
"Physiologia plantarum",1
"Physiological genomics",3
"Phytochemistry",1
"PhytoKeys",4
"Placenta",2
"Plant & cell physiology",57
"Plant biotechnology (Tokyo, Japan)",1
"Plant biotechnology journal",1
"Plant cell reports",1
"Plant direct",3
"Plant methods",3
"Plant physiology",6
"Planta medica",1
"Platelets",1
"PLoS biology",2
"PLoS genetics",1
"PLoS neglected tropical diseases",2
"PloS one",126
"Precision clinical medicine",1
"Preventing chronic disease",1
"Proceedings of the National Academy of Sciences of the United States of America",2
"Professioni infermieristiche",1
"Protein & cell",1
"Protein and peptide letters",1
"Protein expression and purification",1
"Protein science : a publication of the Protein Society",9
"Proteins",6
"Proteomics",7
"Proteomics. Clinical applications",1
"Psychosomatic medicine",1
"Public health genomics",2
"Radiation protection dosimetry",1
"Radiation research",2
"Restoration ecology",1
"Retrovirology",2
"Revista Argentina de microbiologia",1
"Rheumatology (Oxford, England)",1
"Rice (New York, N.Y.)",5
"RNA (New York, N.Y.)",5
"RNA biology",9
"RSC advances",2
"Schizophrenia bulletin",1
"Science China. Life sciences",6
"Science signaling",2
"Scientific data",20
"Scientific reports",76
"Semantic web",1
"Sheng wu gong cheng xue bao = Chinese journal of biotechnology",1
"SLAS discovery : advancing life sciences R & D",1
"Source code for biology and medicine",1
"Spinal cord",1
"Stem cell reports",1
"Stem cell research",1
"Stem cells translational medicine",1
"Studies in health technology and informatics",4
"Substance use & misuse",1
"Synthetic and systems biotechnology",3
"Systems and synthetic biology",1
"The American journal of tropical medicine and hygiene",1
"The FEBS journal",1
"The International journal of biological markers",1
"The Journal of chemical physics",1
"The Journal of heredity",1
"The Journal of steroid biochemistry and molecular biology",1
"The New phytologist",1
"The plant genome",1
"The Plant journal : for cell and molecular biology",9
"The protein journal",1
"The Science of the total environment",2
"The semantic Web--ISWC ... : ... International Semantic Web Conference ... proceedings. International Semantic Web Conference",1
"Therapeutic advances in infectious disease",1
"Topics in companion animal medicine",1
"Toxicological sciences : an official journal of the Society of Toxicology",2
"Toxicology",1
"Toxicology reports",1
"Transfusion medicine (Oxford, England)",1
"Transfusion medicine reviews",1
"Translation (Austin, Tex.)",1
"Trends in genetics : TIG",1
"Tuberculosis (Edinburgh, Scotland)",2
"Turkish journal of medical sciences",1
"Twin research and human genetics : the official journal of the International Society for Twin Studies",1
"Vaccine",1
"Virology",1
"Virus research",1
"Viruses",1
"Wellcome open research",2
"Worm",2
"Yeast (Chichester, England)",1
"Yi chuan = Hereditas",4
"Zebrafish",4
"Zeitschrift fur angewandte Ichthyologie = Journal of applied ichthyology",1
"ZooKeys",2
"Zoological science",1
"Zootaxa",3
